productName,releaseYear_scaled,memSize_scaled,memBusWidth_scaled,gpuClock_scaled,memClock_scaled,unifiedShader_scaled,tmu_scaled,rop_scaled,manufacturer_encoded,igp_encoded,bus_encoded,memType_encoded,gpuChip_encoded
GeForce RTX 4080 Ti,0.9729729729729755,0.15624978906244724,0.03529411764705882,0.8121499353726841,0.5861456483126111,0.808735632183908,0.5,0.5625,5,0,24,14,4
GeForce RTX 4090,0.9729729729729755,0.1874997968749492,0.043137254901960784,0.7776820336062041,0.5861456483126111,0.9999999999999999,0.6181818181818182,0.75,5,0,24,14,4
H100 PCIe,0.9729729729729755,0.6249999062499765,0.6235294117647059,0.45454545454545453,0.44182948490230906,0.8381609195402298,0.5181818181818182,0.09375,5,0,27,17,126
H100 SXM5,0.9729729729729755,0.6249999062499765,0.6235294117647059,0.45454545454545453,0.663854351687389,0.9705747126436781,0.6,0.09375,5,0,27,18,126
Iris Xe Graphics 80EU,0.9729729729729755,0.007999751999938,0.011764705882352941,0.12494614390348988,0.369449378330373,0.03632183908045977,0.045454545454545456,0.078125,3,1,29,24,9
Iris Xe Graphics 96EU,0.9729729729729755,0.007999751999938,0.011764705882352941,0.12494614390348988,0.369449378330373,0.04367816091954023,0.05454545454545454,0.09375,3,1,29,24,9
Radeon 660M,0.9729729729729755,0.007999751999938,0.011764705882352941,0.6419646704006893,0.369449378330373,0.021609195402298848,0.02727272727272727,0.0625,1,1,26,24,398
Radeon 680M,0.9729729729729755,0.007999751999938,0.011764705882352941,0.8573890564411891,0.369449378330373,0.04367816091954023,0.05454545454545454,0.125,1,1,26,24,398
Radeon Pro W6400,0.9729729729729755,0.031249757812439452,0.00392156862745098,0.9999999999999999,0.774866785079929,0.04367816091954023,0.05454545454545454,0.125,1,0,25,13,294
Radeon RX 6300M,0.9729729729729755,0.015624753906188475,0.0,0.8573890564411891,0.9968916518650089,0.04367816091954023,0.05454545454545454,0.125,1,0,25,13,294
Radeon RX 6400,0.9729729729729755,0.031249757812439452,0.00392156862745098,0.8242137009909521,0.885879218472469,0.04367816091954023,0.05454545454545454,0.125,1,0,25,13,294
Radeon RX 6500 XT,0.9729729729729755,0.031249757812439452,0.00392156862745098,0.9909521757862989,0.9960035523978686,0.05839080459770115,0.07272727272727272,0.125,1,0,25,13,294
Radeon RX 6500M,0.9729729729729755,0.031249757812439452,0.00392156862745098,0.8573890564411891,0.9968916518650089,0.05839080459770115,0.07272727272727272,0.125,1,0,25,13,294
Radeon RX 6600S,0.9729729729729755,0.031249757812439452,0.011764705882352941,0.7281344248168892,0.774866785079929,0.10252873563218391,0.12727272727272726,0.25,1,0,26,13,293
Radeon RX 6650 XT,0.9729729729729755,0.0624997656249414,0.011764705882352941,0.881085738905644,0.9702486678507993,0.11724137931034483,0.14545454545454545,0.25,1,0,26,13,293
Radeon RX 6650M,0.9729729729729755,0.0624997656249414,0.011764705882352941,0.886686772942697,0.885879218472469,0.10252873563218391,0.12727272727272726,0.25,1,0,26,13,293
Radeon RX 6650M XT,0.9729729729729755,0.0624997656249414,0.011764705882352941,0.886686772942697,0.885879218472469,0.11724137931034483,0.14545454545454545,0.25,1,0,26,13,293
Radeon RX 6700S,0.9729729729729755,0.0624997656249414,0.011764705882352941,0.7281344248168892,0.774866785079929,0.10252873563218391,0.12727272727272726,0.25,1,0,26,13,293
Radeon RX 6750 XT,0.9729729729729755,0.09374977343744335,0.0196078431372549,0.922016372253339,0.9968916518650089,0.14666666666666667,0.18181818181818182,0.25,1,0,24,13,292
Radeon RX 6800S,0.9729729729729755,0.0624997656249414,0.011764705882352941,0.7712193020249891,0.885879218472469,0.11724137931034483,0.14545454545454545,0.25,1,0,26,13,293
Radeon RX 6850M XT,0.9729729729729755,0.09374977343744335,0.0196078431372549,0.99569151227919,0.885879218472469,0.14666666666666667,0.18181818181818182,0.25,1,0,24,13,292
Radeon RX 6950 XT,0.9729729729729755,0.1249997812499453,0.027450980392156862,0.8250753985351141,0.9968916518650089,0.29379310344827586,0.36363636363636365,0.5,1,0,24,13,291
Radeon RX 7700 XT,0.9729729729729755,0.0624997656249414,0.011764705882352941,0.7712193020249891,0.9968916518650089,0.23494252873563218,0.2909090909090909,0.5,1,0,27,13,297
Radeon RX 7800 XT,0.9729729729729755,0.09374977343744335,0.0196078431372549,0.7712193020249891,0.9968916518650089,0.4703448275862069,0.5818181818181818,0.75,1,0,27,13,296
Radeon RX 7900 XT,0.9729729729729755,0.1249997812499453,0.027450980392156862,0.7712193020249891,0.9968916518650089,0.7057471264367815,0.8727272727272727,1.0,1,0,27,13,295
RTX A5500,0.9729729729729755,0.1874997968749492,0.043137254901960784,0.49978457561395945,0.885879218472469,0.5880459770114942,0.36363636363636365,0.375,5,0,24,13,111
RTX A5500 Mobile,0.9729729729729755,0.1249997812499453,0.027450980392156862,0.3834554071520896,0.774866785079929,0.4262068965517241,0.2636363636363636,0.375,5,0,24,13,112
Steam Deck GPU,0.9729729729729755,0.1249997812499453,0.011764705882352941,0.4265402843601896,0.6083481349911191,0.02896551724137931,0.03636363636363636,0.03125,1,0,5,20,451
UHD Graphics 48EU,0.9729729729729755,0.007999751999938,0.011764705882352941,0.12494614390348988,0.369449378330373,0.021609195402298848,0.02727272727272727,0.046875,3,1,29,24,9
